"Series Description","Nominal Broad Dollar Index ","SPOT EXCHANGE RATE - EURO AREA ","SPOT EXCHANGE RATE - BRAZIL ","CANADA -- SPOT EXCHANGE RATE, CANADIAN $/US$ ","CHINA -- SPOT EXCHANGE RATE, YUAN/US$ P.R. ","JAPAN -- SPOT EXCHANGE RATE, YEN/US$ ","MEXICO -- SPOT EXCHANGE RATE, PESOS/US$ "
"Unit:","Index:_1973_Mar_100","Currency:_Per_EUR","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD","Currency:_Per_USD"
"Multiplier:","1","1","1","1","1","1","1"
"Currency:","NA","USD","BRL","CAD","CNY","JPY","MXN"
"Unique Identifier: ","H10/H10/JRXWTFB_N.B","H10/H10/RXI$US_N.B.EU","H10/H10/RXI_N.B.BZ","H10/H10/RXI_N.B.CA","H10/H10/RXI_N.B.CH","H10/H10/RXI_N.B.JA","H10/H10/RXI_N.B.MX"
"Time Period","JRXWTFB_N.B","RXI$US_N.B.EU","RXI_N.B.BZ","RXI_N.B.CA","RXI_N.B.CH","RXI_N.B.JA","RXI_N.B.MX"
2015-01-01,ND,ND,ND,ND,ND,ND,ND
2015-01-02,111.8311,1.2015,2.6967,1.1725,6.2046,120.2000,14.8060
2015-01-05,112.4831,1.1918,2.7284,1.1785,6.2201,119.6400,14.9700
2015-01-06,112.2677,1.1936,2.7013,1.1802,6.2125,118.2600,14.8785
2015-01-07,112.5984,1.1820,2.7000,1.1851,6.2127,119.5200,14.7875
2015-01-08,112.2065,1.1811,2.6635,1.1812,6.2143,119.5100,14.6095
2015-01-09,112.0656,1.1830,2.6375,1.1857,6.2085,118.6600,14.5765
2015-01-12,112.1909,1.1832,2.6673,1.1929,6.2027,118.3200,14.6370
2015-01-13,112.2449,1.1779,2.6366,1.1947,6.1970,118.1600,14.5755
2015-01-14,112.0558,1.1806,2.6145,1.1957,6.1957,116.7800,14.5740
2015-01-15,112.0877,1.1598,2.6324,1.1932,6.1870,116.9500,14.5920
2015-01-16,112.2625,1.1517,2.6225,1.1986,6.2065,117.4500,14.6110
2015-01-19,ND,ND,ND,ND,ND,ND,ND
